     #Energy           s          py          pz          px       tot
    -5.81988     0.07299     0.01097     0.01266     0.01446     0.11108
    -5.80888     0.07224     0.01081     0.01251     0.01449     0.11005
    -5.79888     0.07151     0.01065     0.01236     0.01451     0.10903
    -5.78888     0.07083     0.01050     0.01222     0.01455     0.10810
    -5.77788     0.07018     0.01036     0.01209     0.01459     0.10722
    -5.76788     0.06957     0.01022     0.01196     0.01464     0.10639
    -5.75788     0.06900     0.01009     0.01184     0.01470     0.10563
    -5.74688     0.06847     0.00997     0.01173     0.01476     0.10493
    -5.73688     0.06798     0.00985     0.01162     0.01484     0.10429
    -5.72688     0.06753     0.00974     0.01152     0.01492     0.10371
    -5.71688     0.06711     0.00963     0.01143     0.01501     0.10318
    -5.70588     0.06672     0.00954     0.01134     0.01511     0.10271
    -5.69588     0.06634     0.00944     0.01127     0.01520     0.10225
    -5.68588     0.06595     0.00935     0.01119     0.01528     0.10177
    -5.67488     0.06558     0.00926     0.01113     0.01536     0.10133
    -5.66488     0.06524     0.00917     0.01107     0.01543     0.10091
    -5.65488     0.06493     0.00908     0.01101     0.01551     0.10053
    -5.64388     0.06463     0.00900     0.01096     0.01558     0.10017
    -5.63388     0.06435     0.00891     0.01092     0.01565     0.09984
    -5.62388     0.06409     0.00884     0.01088     0.01572     0.09953
    -5.61388     0.06385     0.00876     0.01085     0.01579     0.09925
    -5.60288     0.06362     0.00869     0.01083     0.01585     0.09899
    -5.59288     0.06341     0.00862     0.01081     0.01592     0.09876
    -5.58288     0.06323     0.00856     0.01079     0.01598     0.09856
    -5.57188     0.06290     0.00849     0.01077     0.01599     0.09815
    -5.56188     0.06233     0.00841     0.01074     0.01593     0.09741
    -5.55188     0.06175     0.00834     0.01071     0.01585     0.09665
    -5.54088     0.06115     0.00828     0.01068     0.01576     0.09587
    -5.53088     0.06052     0.00822     0.01066     0.01566     0.09506
    -5.52088     0.05988     0.00816     0.01063     0.01553     0.09420
    -5.51088     0.05921     0.00811     0.01062     0.01540     0.09334
    -5.49988     0.05853     0.00807     0.01060     0.01525     0.09245
    -5.48988     0.05782     0.00803     0.01059     0.01508     0.09152
    -5.47988     0.05741     0.00800     0.01060     0.01501     0.09102
    -5.46888     0.05732     0.00799     0.01063     0.01503     0.09097
    -5.45888     0.05722     0.00798     0.01065     0.01506     0.09091
    -5.44888     0.05713     0.00797     0.01067     0.01509     0.09086
    -5.43788     0.05704     0.00797     0.01069     0.01511     0.09081
    -5.42788     0.05694     0.00796     0.01070     0.01514     0.09074
    -5.41788     0.05683     0.00796     0.01072     0.01516     0.09067
    -5.40788     0.05672     0.00795     0.01073     0.01518     0.09058
    -5.39688     0.05660     0.00795     0.01074     0.01520     0.09049
    -5.38688     0.05648     0.00794     0.01075     0.01522     0.09039
    -5.37688     0.05635     0.00793     0.01075     0.01523     0.09026
    -5.36588     0.05621     0.00792     0.01075     0.01525     0.09013
    -5.35588     0.05607     0.00791     0.01075     0.01526     0.08999
    -5.34588     0.05592     0.00790     0.01075     0.01527     0.08984
    -5.33488     0.05576     0.00789     0.01075     0.01528     0.08968
    -5.32488     0.05560     0.00788     0.01074     0.01528     0.08950
    -5.31488     0.05543     0.00787     0.01073     0.01529     0.08932
    -5.30488     0.05527     0.00785     0.01072     0.01529     0.08913
    -5.29388     0.05511     0.00784     0.01071     0.01528     0.08894
    -5.28388     0.05485     0.00782     0.01067     0.01525     0.08859
    -5.27388     0.05455     0.00779     0.01064     0.01521     0.08819
    -5.26288     0.05424     0.00776     0.01059     0.01516     0.08775
    -5.25288     0.05392     0.00773     0.01055     0.01511     0.08731
    -5.24288     0.05358     0.00770     0.01050     0.01506     0.08684
    -5.23188     0.05323     0.00767     0.01044     0.01500     0.08634
    -5.22188     0.05287     0.00763     0.01037     0.01494     0.08581
    -5.21188     0.05245     0.00758     0.01028     0.01486     0.08517
    -5.20188     0.05201     0.00753     0.01018     0.01478     0.08450
    -5.19088     0.05155     0.00748     0.01008     0.01470     0.08381
    -5.18088     0.05108     0.00743     0.00997     0.01461     0.08310
    -5.17088     0.05060     0.00738     0.00987     0.01452     0.08237
    -5.15988     0.05009     0.00733     0.00976     0.01443     0.08161
    -5.14988     0.04958     0.00728     0.00965     0.01433     0.08084
    -5.13988     0.04904     0.00723     0.00954     0.01423     0.08004
    -5.12888     0.04850     0.00718     0.00942     0.01413     0.07923
    -5.11888     0.04793     0.00713     0.00930     0.01402     0.07838
    -5.10888     0.04735     0.00708     0.00918     0.01391     0.07752
    -5.09888     0.04691     0.00704     0.00909     0.01384     0.07687
    -5.08788     0.04652     0.00700     0.00901     0.01378     0.07631
    -5.07788     0.04612     0.00697     0.00892     0.01373     0.07574
    -5.06788     0.04572     0.00693     0.00884     0.01367     0.07516
    -5.05688     0.04531     0.00690     0.00876     0.01362     0.07459
    -5.04688     0.04489     0.00686     0.00868     0.01357     0.07400
    -5.03688     0.04446     0.00682     0.00860     0.01351     0.07339
    -5.02588     0.04402     0.00679     0.00852     0.01346     0.07279
    -5.01588     0.04357     0.00675     0.00844     0.01341     0.07217
    -5.00588     0.04312     0.00671     0.00836     0.01336     0.07155
    -4.99588     0.04266     0.00667     0.00829     0.01331     0.07093
    -4.98488     0.04219     0.00663     0.00821     0.01326     0.07029
    -4.97488     0.04185     0.00661     0.00817     0.01322     0.06985
    -4.96488     0.04157     0.00660     0.00814     0.01320     0.06950
    -4.95388     0.04129     0.00658     0.00811     0.01317     0.06915
    -4.94388     0.04101     0.00657     0.00808     0.01315     0.06881
    -4.93388     0.04073     0.00656     0.00806     0.01312     0.06846
